id,title,rating,reviews,typeLocation,link
,Đà Nẵng,,,Tourism,https://www.tripadvisor.com/Tourism-g298085-Da_Nang-Vacations.html
d17324749,Stella Maris Beach Đà Nẵng,5.0,2707.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d17324749-Reviews-Stella_Maris_Beach_Danang-Da_Nang.html?
d11689349,Risemount Premier Resort Da Nang,4.8,1588.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d11689349-Reviews-Risemount_Premier_Resort_Da_Nang-Da_Nang.html?
d13813945,HAIAN Beach Hotel & Spa,4.9,4121.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13813945-Reviews-HAIAN_Beach_Hotel_Spa-Da_Nang.html?
d6370235,Premier Village Danang Resort - Managed by Accor,4.9,3873.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d6370235-Reviews-Premier_Village_Danang_Resort_Managed_by_Accor-Da_Nang.html?
d3511123,Novotel Danang Premier Han River,4.8,4309.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d3511123-Reviews-Novotel_Danang_Premier_Han_River-Da_Nang.html?
d9761938,Royal Lotus Hotel Danang,4.9,3102.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d9761938-Reviews-Royal_Lotus_Hotel_Danang-Da_Nang.html?
d7787047,Diamond Sea Hotel,4.7,2255.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d7787047-Reviews-Diamond_Sea_Hotel-Da_Nang.html?
d454980,Núi Ngũ Hành Sơn,4.2,8175.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d454980-Reviews-The_Marble_Mountains-Da_Nang.html
d6612108,Cầu Rồng,4.2,6034.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d6612108-Reviews-Dragon_Bridge-Da_Nang.html
d3236066,Brilliant Hotel,4.8,3446.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d3236066-Reviews-Brilliant_Hotel-Da_Nang.html?
d32859508,Bếp Lụa Restaurant,5.0,170.0,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d32859508-Reviews-B_p_L_a_Restaurant-Da_Nang.html
d19935841,Santa Luxury Hotel,4.9,766.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d19935841-Reviews-Santa_Luxury_Hotel-Da_Nang.html?
d24979323,Sontra Sea Hotel,4.9,176.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d24979323-Reviews-Sontra_Sea_Hotel-Da_Nang.html?
d2340470,Hyatt Regency Danang Resort & Spa,4.5,4234.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d2340470-Reviews-Hyatt_Regency_Danang_Resort_Spa-Da_Nang.html?
d5531576,Lady Buddha,4.5,4572.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d5531576-Reviews-Lady_Buddha-Da_Nang.html
d8299463,Palmier Hotel & Apartment,4.6,169.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d8299463-Reviews-Palmier_Hotel_Apartment-Da_Nang.html?
d25348702,"Crowne Plaza Danang City Centre, an IHG Hotel",4.9,290.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d25348702-Reviews-Crowne_Plaza_Danang_City_Centre_an_IHG_Hotel-Da_Nang.html?
d12442254,Dylan Hotel Da Nang,4.6,127.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12442254-Reviews-Dylan_Hotel_Da_Nang-Da_Nang.html?
d12221349,Bliss Luxury Hotel,4.8,257.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12221349-Reviews-Bliss_Luxury_Hotel-Da_Nang.html?
d1732187,Pullman Danang Beach Resort,4.7,3147.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d1732187-Reviews-Pullman_Danang_Beach_Resort-Da_Nang.html?
d8147265,Khách sạn Galavina Đà Nẵng,4.3,46.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d8147265-Reviews-Galavina_Danang_Hotel-Da_Nang.html?
d12391393,Khách Sạn SEN Boutique,4.6,243.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12391393-Reviews-SEN_Boutique_Hotel-Da_Nang.html?
d26531902,Mercy Emerald Hotel,4.9,100.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d26531902-Reviews-Mercy_Emerald_Hotel-Da_Nang.html?
d2255351,Đồi Bà Nà,4.1,7076.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d2255351-Reviews-Sun_World_Ba_Na_Hills-Da_Nang.html
d15638266,Seahorse Han Market Da Nang Hostel by Haviland,4.9,106.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d15638266-Reviews-Seahorse_Han_Market_Da_Nang_Hostel_by_Haviland-Da_Nang.html?
d7021088,SKY36,4.1,677.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d7021088-Reviews-SKY36-Da_Nang.html
d16803052,Hải Sản Bé Biển,4.8,145.0,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d16803052-Reviews-Hai_San_Be_Bien-Da_Nang.html
d2724207,Madame Lân,3.9,2135.0,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d2724207-Reviews-Madame_Lan-Da_Nang.html
d17546936,Panda Spa & Massage In Danang City,5.0,767.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d17546936-Reviews-Panda_Spa_Massage_In_Danang_City-Da_Nang.html
d6460711,SOCO Hotel,3.6,177.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d6460711-Reviews-SOCO_Hotel-Da_Nang.html?
d13140547,Fivitel Da Nang Hotel,4.8,884.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13140547-Reviews-Fivitel_Da_Nang_Hotel-Da_Nang.html?
d13084698,Silk Spa Da Nang,4.8,818.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d13084698-Reviews-Silk_Spa_Da_Nang-Da_Nang.html
d17760929,Bếp Cuốn Đà Nẵng,4.8,592.0,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d17760929-Reviews-B_p_Cu_n_Da_N_ng-Da_Nang.html
d4339766,Khách sạn Hoàng Sa,4.4,156.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d4339766-Reviews-Hoang_Sa_Hotel-Da_Nang.html?
d9702684,Hadana Boutique Hotel,4.9,2114.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d9702684-Reviews-Hadana_Boutique_Hotel-Da_Nang.html?
d9853219,Khách sạn Grand Tourane,4.8,850.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d9853219-Reviews-Grand_Tourane_Hotel-Da_Nang.html?
d13008083,San Marino Boutique Danang,4.9,839.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13008083-Reviews-San_Marino_Boutique_Danang-Da_Nang.html?
d14794498,Ruby Light Hotel by NNT Hotel Collection,4.8,207.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d14794498-Reviews-Ruby_Light_Hotel_by_NNT_Hotel_Collection-Da_Nang.html?
d15142242,Eden Hotel Danang,4.7,327.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d15142242-Reviews-Eden_Hotel_Danang-Da_Nang.html?
d15225205,Grand Sunrise Boutique Hotel,4.9,569.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d15225205-Reviews-Grand_Sunrise_Boutique_Hotel-Da_Nang.html?
d9570796,Ana Maison Boutique Hotel,4.4,298.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d9570796-Reviews-Ana_Maison_Boutique_Hotel-Da_Nang.html?
d27935364,M Hotel Danang,4.8,468.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d27935364-Reviews-M_Hotel_Danang-Da_Nang.html?
d19453440,Mường Thanh Luxury Sông Hàn Hotel,4.9,284.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d19453440-Reviews-Mu_ng_Thanh_Luxury_Song_Han_Hotel-Da_Nang.html?
d13297744,Nhu Minh Plaza Danang Hotel,5.0,1162.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13297744-Reviews-Nhu_Minh_Plaza_Danang_Hotel-Da_Nang.html?
d12645634,Parosand Danang Hotel (Belle Maison Parosand Danang),4.9,4802.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12645634-Reviews-Parosand_Danang_Hotel_Belle_Maison_Parosand_Danang-Da_Nang.html?
d14991251,Cầu Vàng,4.0,865.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d14991251-Reviews-Golden_Bridge-Da_Nang.html
d12919657,Hilton Da Nang,4.9,2786.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12919657-Reviews-Hilton_Da_Nang-Da_Nang.html?
d1198755,Khách sạn Đà Nẵng Riverside,3.7,150.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d1198755-Reviews-Da_Nang_Riverside_Hotel-Da_Nang.html?
d26723722,Van May Restaurant,5.0,343.0,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d26723722-Reviews-Van_May_Restaurant-Da_Nang.html
d19273750,MAMA HOT POT Buffet - Võ Văn Kiệt,4.9,125.0,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d19273750-Reviews-MAMA_HOT_POT_Buffet_Vo_Van_Ki_t-Da_Nang.html
d30051760,Nhà Hàng Làn Gió,4.9,259.0,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d30051760-Reviews-Nha_Hang_Lan_Gio-Da_Nang.html
d4346231,Eden Plaza Đà Nẵng Hotel,4.1,257.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d4346231-Reviews-Eden_Plaza_Da_Nang_Hotel-Da_Nang.html?
d8544487,Avatar Hotel Da Nang,4.7,1052.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d8544487-Reviews-Avatar_Hotel_Da_Nang-Da_Nang.html?
d13188737,Satya Da Nang Hotel,4.8,540.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13188737-Reviews-Satya_Da_Nang_Hotel-Da_Nang.html?
d13454359,Hanami Hotel Danang,4.4,26.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13454359-Reviews-Hanami_Hotel_Danang-Da_Nang.html?
d20063843,HAIAN Riverfront Hotel Danang,4.9,1662.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d20063843-Reviews-HAIAN_Riverfront_Hotel_Danang-Da_Nang.html?
d11962134,Brilliant Top Bar,4.9,1365.0,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d11962134-Reviews-Brilliant_Top_Bar-Da_Nang.html
d8115500,DHC Marina,3.8,204.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d8115500-Reviews-DHC_Marina-Da_Nang.html
d23169144,Khách sạn Radisson Đà Nẵng,4.8,1136.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d23169144-Reviews-Radisson_Hotel_Danang-Da_Nang.html?
d24982748,Ăn Thôi Đà Nẵng,4.9,986.0,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d24982748-Reviews-An_Thoi_Da_Nang-Da_Nang.html
d6161470,Fivitel Boutique Da Nang,4.5,408.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d6161470-Reviews-Fivitel_Boutique_Da_Nang-Da_Nang.html?
d25430827,ADM Club,4.7,124.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d25430827-Reviews-ADM_Club-Da_Nang.html
d8291301,Asia Park,4.1,759.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d8291301-Reviews-Asia_Park-Da_Nang.html
d6533098,Khách sạn A La Carte,4.4,2263.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d6533098-Reviews-A_La_Carte_Da_Nang_Beach-Da_Nang.html?
d12639177,3D Museum Art in Paradise Danang,4.7,337.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d12639177-Reviews-3D_Museum_Art_in_Paradise_Danang-Da_Nang.html
d12882219,Cơm Nhà Linh,4.6,231.0,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d12882219-Reviews-Com_Nha_Linh_Vietnamese_cuisine-Da_Nang.html
d454979,Bảo tàng điêu khắc Chăm thành phố Đà Nẵng,3.9,1554.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d454979-Reviews-Da_Nang_Museum_of_Cham_Sculpture-Da_Nang.html
d1575735,Khách sạn One Opera Đà Nẵng,4.5,211.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d1575735-Reviews-One_Opera_Danang_Hotel-Da_Nang.html?
