id,title,rating,reviews,typeLocation,link
d17324749,Stella Maris Beach Đà Nẵng,5.0,2713,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d17324749-Reviews-Stella_Maris_Beach_Danang-Da_Nang.html?
d11689349,Risemount Premier Resort Da Nang,4.8,1591,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d11689349-Reviews-Risemount_Premier_Resort_Da_Nang-Da_Nang.html?
d13813945,HAIAN Beach Hotel & Spa,4.9,4132,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13813945-Reviews-HAIAN_Beach_Hotel_Spa-Da_Nang.html?
d6370235,Premier Village Danang Resort - Managed by Accor,4.9,3873,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d6370235-Reviews-Premier_Village_Danang_Resort_Managed_by_Accor-Da_Nang.html?
d3511123,Novotel Danang Premier Han River,4.8,4313,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d3511123-Reviews-Novotel_Danang_Premier_Han_River-Da_Nang.html?
d9761938,Royal Lotus Hotel Danang,4.9,3102,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d9761938-Reviews-Royal_Lotus_Hotel_Danang-Da_Nang.html?
d7787047,Diamond Sea Hotel,4.7,2258,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d7787047-Reviews-Diamond_Sea_Hotel-Da_Nang.html?
d454980,Núi Ngũ Hành Sơn,4.2,8176,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d454980-Reviews-The_Marble_Mountains-Da_Nang.html
d6612108,Cầu Rồng,4.2,6036,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d6612108-Reviews-Dragon_Bridge-Da_Nang.html
d3236066,Brilliant Hotel,4.8,3447,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d3236066-Reviews-Brilliant_Hotel-Da_Nang.html?
d19935841,Santa Luxury Hotel,4.9,774,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d19935841-Reviews-Santa_Luxury_Hotel-Da_Nang.html?
d2340470,Hyatt Regency Danang Resort & Spa,4.5,4256,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d2340470-Reviews-Hyatt_Regency_Danang_Resort_Spa-Da_Nang.html?
d5531576,Lady Buddha,4.5,4573,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d5531576-Reviews-Lady_Buddha-Da_Nang.html
d25348702,"Crowne Plaza Danang City Centre, an IHG Hotel",4.9,295,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d25348702-Reviews-Crowne_Plaza_Danang_City_Centre_an_IHG_Hotel-Da_Nang.html?
d12221349,Bliss Luxury Hotel,4.8,257,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12221349-Reviews-Bliss_Luxury_Hotel-Da_Nang.html?
d1732187,Pullman Danang Beach Resort,4.7,3157,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d1732187-Reviews-Pullman_Danang_Beach_Resort-Da_Nang.html?
d12391393,Khách Sạn SEN Boutique,4.6,243,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12391393-Reviews-SEN_Boutique_Hotel-Da_Nang.html?
